className	displayName	armaCategory	armaType	mass	count	maxLoad	mod	addons
uk3cb_enfield_l42_walnut_no32	Enfield L42 (Beech)	Weapon	SniperRifle	92.3	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_Enfield
uk3cb_enfield_l42_walnut_no32_sup	Enfield L42 (Beech)	Weapon	SniperRifle	92.3	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_Enfield
uk3cb_HS50	Steyr HS-50 BMG	Weapon	SniperRifle	286.6	-1	-1	@JSRS SOUNDMOD 2025	UK3CB_Factions_Weapons_HS50;jsrs2025_compat_3cb_factions
uk3cb_HS50_LRPS	Steyr HS-50 BMG	Weapon	SniperRifle	286.6	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_HS50
M203_GL	EGLM	Weapon	UnknownWeapon	-1	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16;UK3CB_Factions_Weapons_G3
M320_GL	EGLM	Weapon	UnknownWeapon	-1	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16;UK3CB_Factions_Weapons_G3
UK3CB_M16A1	M16A1	Weapon	AssaultRifle	75	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16A1_LSW	M16A1 LSW	Weapon	AssaultRifle	77	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16_Carbine	Colt Carbine	Weapon	AssaultRifle	63.7	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16A2	M16A2	Weapon	AssaultRifle	75	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16A3	M16A3	Weapon	AssaultRifle	73.04	-1	-1	@JSRS SOUNDMOD 2025	UK3CB_Factions_Weapons_M16;jsrs2025_compat_3cb_factions
UK3CB_M16A2_UGL	M16A2 M203	Weapon	AssaultRifle	104.72	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16A3_UGL	M16A3 M203	Weapon	AssaultRifle	104.72	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16A3_eotech_552	M16A3	Weapon	AssaultRifle	73.04	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16A3_sup	M16A3	Weapon	AssaultRifle	73.04	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16A3_eotech_552_sup	M16A3	Weapon	AssaultRifle	73.04	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16A2_UGL_eotech_552	M16A2 M203	Weapon	AssaultRifle	104.72	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16A2_UGL_sup	M16A2 M203	Weapon	AssaultRifle	104.72	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16A2_sup	M16A2	Weapon	AssaultRifle	75	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16_Carbine_sup	Colt Carbine	Weapon	AssaultRifle	63.7	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
UK3CB_M16_Carbine_eotech_552	Colt Carbine	Weapon	AssaultRifle	63.7	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M16
uk3cb_ppsh41	PPSh-41	Weapon	AssaultRifle	80	-1	-1	@JSRS SOUNDMOD 2025	UK3CB_Factions_Weapons_PPSH;jsrs2025_compat_3cb_factions
UK3CB_RPD	RPD	Weapon	MachineGun	196	-1	-1	@JSRS SOUNDMOD 2025	UK3CB_Factions_Weapons_RPD;jsrs2025_compat_3cb_factions
uk3cb_rpd_sup	RPD	Weapon	MachineGun	196	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPD
UK3CB_RPK	RPK	Weapon	MachineGun	105.8	-1	-1	@JSRS SOUNDMOD 2025	UK3CB_Factions_Weapons_RPK;jsrs2025_compat_3cb_factions
UK3CB_RPK_BLK	RPK (Black)	Weapon	MachineGun	105.8	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
UK3CB_RPKN	RPKN	Weapon	MachineGun	86	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
UK3CB_RPKN_BLK	RPKN (Black)	Weapon	MachineGun	86	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
UK3CB_RPKN_PLUM	RPKN (Plum)	Weapon	MachineGun	86	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
UK3CB_RPK_74	RPK-74	Weapon	MachineGun	94	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
UK3CB_RPK_74_BLK	RPK-74 (Black)	Weapon	MachineGun	94	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
UK3CB_RPK_74_PLUM	RPK-74 (Plum)	Weapon	MachineGun	94	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
UK3CB_RPK_74N	RPK-74N	Weapon	MachineGun	94	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
UK3CB_RPK_74N_BLK	RPK-74N (Black)	Weapon	MachineGun	94	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
UK3CB_RPK_74N_PLUM	RPK-74N (Plum)	Weapon	MachineGun	94	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
uk3cb_rpk_blk_sup	RPK (Black)	Weapon	MachineGun	105.8	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
uk3cb_rpkn_blk_ekp802_sup	RPKN (Black)	Weapon	MachineGun	86	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
uk3cb_rpkn_ekp802	RPKN	Weapon	MachineGun	86	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
uk3cb_rpkn_blk_ekp802	RPKN (Black)	Weapon	MachineGun	86	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
uk3cb_rpk_74n_plum_ekp802	RPK-74N (Plum)	Weapon	MachineGun	94	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_RPK
uk3cb_muzzle_sks_bayonet	SKS Bayonet Deployed	Item	AccessoryMuzzle	1	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_SKS
uk3cb_sks_01	SKS	Weapon	AssaultRifle	85.9	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_SKS
uk3cb_sks_01_sling	SKS (Sling)	Weapon	AssaultRifle	85.9	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_SKS
uk3cb_sks_02	SKS-D	Weapon	AssaultRifle	85.9	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_SKS
UK3CB_M1903A1_unertl	M1903A1 (Sniper)	Weapon	SniperRifle	93	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M1903Al
UK3CB_M1903A1	M1903A1	Weapon	SniperRifle	88	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_M1903Al
UK3CB_Sten	Sterling SMG	Weapon	SubmachineGun	66	-1	-1	@JSRS SOUNDMOD 2025	UK3CB_Factions_Weapons_Sten;jsrs2025_compat_3cb_factions
UK3CB_SVD_OLD	SVD	Weapon	AssaultRifle	81.62	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_SVD_OLD
UK3CB_SVD_OLD_NPZ	SVD NPZ	Weapon	AssaultRifle	90.42	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_SVD_OLD
uk3cb_weap_svd_old_pso1m2	SVD	Weapon	AssaultRifle	81.62	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_SVD_OLD
uk3cb_weap_svd_old_pso1m2_sup	SVD	Weapon	AssaultRifle	81.62	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_SVD_OLD
UK3CB_Tec9	Tec-9	Weapon	SubmachineGun	28.6	-1	-1	@JSRS SOUNDMOD 2025	UK3CB_Factions_Weapons_Tec9;jsrs2025_compat_3cb_factions
UK3CB_Tec9_Full	Tec-9 (Full Auto)	Weapon	SubmachineGun	28.6	-1	-1	@JSRS SOUNDMOD 2025	UK3CB_Factions_Weapons_Tec9;jsrs2025_compat_3cb_factions
UK3CB_UKM2000P	UKM-2000P	Weapon	MachineGun	165	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_UKM
rhs_weap_scorpion	M84AÂ Scorpion	Weapon	SubmachineGun	28.16	-1	-1	@JSRS SOUNDMOD 2025	rhssaf_c_weapons;jsrs2025_compat_rhs_saf
UK3CB_Uzi	Uzi	Weapon	SubmachineGun	77	-1	-1	@JSRS SOUNDMOD 2025	UK3CB_Factions_Weapons_Uzi;jsrs2025_compat_3cb_factions
UK3CB_Uzi_Stock	Uzi (Extended)	Weapon	SubmachineGun	77	-1	-1	@3CB Factions	UK3CB_Factions_Weapons_Uzi
rhs_weap_savz61	SaÂ vz.Â 61	Weapon	SubmachineGun	28.16	-1	-1	@JSRS SOUNDMOD 2025	rhsgref_c_weapons;jsrs2025_compat_rhs_gref
rhs_weap_savz61_folded	SaÂ vz.Â 61Â (Folded)	Weapon	Handgun	28.16	-1	-1	@RHSGREF	rhsgref_c_weapons
UK3CB_Micro_Uzi	Micro Uzi	Weapon	Handgun	58.4	-1	-1	@JSRS SOUNDMOD 2025	UK3CB_Factions_Weapons_Uzi;jsrs2025_compat_3cb_factions
kio_H_Bipod	Harris Bipod	Item	AccessoryBipod	10	-1	-1	@L115A3 Rework Project	Kio_Scopes
PSZ_AccO	Sight	Item	AccessorySights	8.55	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_AccO_Colimator	Collimator	Item	AccessorySights	15.54	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_AccO_Colimator_Magnifier_Down	Collimator + Magnifier	Item	AccessorySights	15.54	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_AccO_Colimator_Magnifier_Up	Collimator + Magnifier	Item	AccessorySights	15.54	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_AccO_Optics	Optics	Item	AccessorySights	8.55	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_AccO_NVOptics	Night Vision Optics	Item	AccessorySights	8.55	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_AccO_EOT552	EOTech 552	Item	AccessorySights	15.54	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_accessories_optics
PSZ_AccO_EOT552_NS	EOTech 552 (NS)	Item	AccessorySights	15.54	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_accessories_optics
PSZ_AccO_EOT552_DOWN	EOTech 552 + Magnifier	Item	AccessorySights	15.54	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_accessories_optics
PSZ_AccO_EOT552_NS_DOWN	EOTech 552 (NS) + Magnifier	Item	AccessorySights	15.54	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_accessories_optics
PSZ_AccO_PCS5	PCS-5	Item	AccessorySights	28.59	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_accessories_optics
PSZ_AccO_PCS5_RPG7	PCS-5 (RPG-7)	Item	AccessorySights	28.59	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_accessories_optics
PSZ_AccO_PCS5M	PCS-5M Gabro	Item	AccessorySights	28.59	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_accessories_optics
PSZ_AccO_PGO7W	PGO-7V	Item	AccessorySights	13.64	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_accessories_optics
PSZ_AccO_LeupoldMk4_35_10x40_M3	Leupold Mk.4 LR/T 3.5-10x40mm M3	Item	AccessorySights	13.09	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_accessories_optics
PSZ_AccO_LeupoldMk4_45_14x50_M1	Leupold Mk.4 LR/T 4.5-14x50mm M1	Item	AccessorySights	13.72	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_accessories_optics
PSZ_MSBS_556K_406	MSBS-5,56K Grot C16	Weapon	AssaultRifle	80.51	-1	-1	@PSZ Polish Armed Forces	psz_weapons_msbs
PSZ_MSBS_556K_406_HG	MSBS-5,56K Grot C16 (HG)	Weapon	AssaultRifle	82.71	-1	-1	@PSZ Polish Armed Forces	psz_weapons_msbs
PSZ_MSBS_556K_254	MSBS-5,56K Grot C10	Weapon	AssaultRifle	74.57	-1	-1	@PSZ Polish Armed Forces	psz_weapons_msbs
PSZ_MSBS_556K_254_HG	MSBS-5,56K Grot C10 (HG)	Weapon	AssaultRifle	76.78	-1	-1	@PSZ Polish Armed Forces	psz_weapons_msbs
PSZ_MSBS_556K_GP40_406	MSBS-5,56K Grot C16G	Weapon	AssaultRifle	109.56	-1	-1	@PSZ Polish Armed Forces	psz_weapons_msbs
PSZ_MSBS_556K_GP40_254	MSBS-5,56K Grot C10G	Weapon	AssaultRifle	103.62	-1	-1	@PSZ Polish Armed Forces	psz_weapons_msbs
PSZ_Beryl96	wz.96B Beryl	Weapon	AssaultRifle	77.44	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_beryl
PSZ_Beryl96_Pallad	wz.96B Beryl Pallad	Weapon	AssaultRifle	104.94	-1	-1	@PSZ Polish Armed Forces	psz_weapons_beryl
PSZ_Beryl04	wz.96C Beryl	Weapon	AssaultRifle	80.3	-1	-1	@PSZ Polish Armed Forces	psz_weapons_beryl
PSZ_Beryl04_D	wz.96D Beryl	Weapon	AssaultRifle	80.3	-1	-1	@PSZ Polish Armed Forces	psz_weapons_beryl
PSZ_Beryl04_GPBO	wz.96C Beryl GPBO-40	Weapon	AssaultRifle	109.34	-1	-1	@PSZ Polish Armed Forces	psz_weapons_beryl
PSZ_Beryl04_D_GPBO	wz.96D Beryl GPBO-40	Weapon	AssaultRifle	109.34	-1	-1	@PSZ Polish Armed Forces	psz_weapons_beryl
PSZ_BerylMini96	wz.96B Mini-Beryl	Weapon	AssaultRifle	69.96	-1	-1	@PSZ Polish Armed Forces	psz_weapons_beryl
PSZ_BerylMini04	wz.96C Mini-Beryl	Weapon	AssaultRifle	74.8	-1	-1	@PSZ Polish Armed Forces	psz_weapons_beryl
PSZ_BerylMini04_D	wz.96D Mini-Beryl	Weapon	AssaultRifle	74.8	-1	-1	@PSZ Polish Armed Forces	psz_weapons_beryl
PSZ_AKMS	AKMS	Weapon	AssaultRifle	75.24	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_akms
PSZ_AKM	AKM	Weapon	AssaultRifle	75.9	-1	-1	@PSZ Polish Armed Forces	psz_weapons_akms
PSZ_UKM_D	UKM-2000D	Weapon	MachineGun	195.79	-1	-1	@PSZ Polish Armed Forces	psz_weapons_ukm
PSZ_UKM_P	UKM-2000P	Weapon	MachineGun	195.79	-1	-1	@PSZ Polish Armed Forces	psz_weapons_ukm
PSZ_PKM	PKM	Weapon	MachineGun	165	-1	-1	@PSZ Polish Armed Forces	psz_weapons_pkm
PSZ_Wist94L	Wist-94L	Weapon	Handgun	15.62	-1	-1	@PSZ Polish Armed Forces	psz_weapons_wist
PSZ_VIS100	Vis 100	Weapon	Handgun	15.29	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_vis100
PSZ_P99	P99	Weapon	Handgun	13	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_p99
PSZ_Bor	Bor	Weapon	SniperRifle	134.2	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_alex
PSZ_Alex338	Alex-338	Weapon	SniperRifle	143	-1	-1	@PSZ Polish Armed Forces	psz_weapons_alex
PSZ_Tor	Tor	Weapon	SniperRifle	332.2	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_tor
PSZ_MSBS_556K_254_EOT	MSBS-5,56K Grot C10	Weapon	AssaultRifle	74.57	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_MSBS_556K_254_HG_EOT	MSBS-5,56K Grot C10 (HG)	Weapon	AssaultRifle	76.78	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_MSBS_556K_406_EOT	MSBS-5,56K Grot C16	Weapon	AssaultRifle	80.51	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_MSBS_556K_406_HG_EOT	MSBS-5,56K Grot C16 (HG)	Weapon	AssaultRifle	82.71	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_MSBS_556K_GP40_406_EOT	MSBS-5,56K Grot C16G	Weapon	AssaultRifle	109.56	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl96_EOT	wz.96B Beryl	Weapon	AssaultRifle	77.44	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl96_PCS5M	wz.96B Beryl	Weapon	AssaultRifle	77.44	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl96_Pallad_EOT	wz.96B Beryl Pallad	Weapon	AssaultRifle	104.94	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl96_Pallad_PCS5M	wz.96B Beryl Pallad	Weapon	AssaultRifle	104.94	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl96_Pallad_G_EOT	wz.96B Beryl Pallad	Weapon	AssaultRifle	104.94	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl96_Pallad_W_EOT	wz.96B Beryl Pallad	Weapon	AssaultRifle	104.94	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_EOT	wz.96C Beryl	Weapon	AssaultRifle	80.3	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_PCS5M	wz.96C Beryl	Weapon	AssaultRifle	80.3	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_D_EOT	wz.96D Beryl	Weapon	AssaultRifle	80.3	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_D_PCS5M	wz.96D Beryl	Weapon	AssaultRifle	80.3	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_G_EOT	wz.96C Beryl	Weapon	AssaultRifle	80.3	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_W_EOT	wz.96C Beryl	Weapon	AssaultRifle	80.3	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_GPBO_EOT	wz.96C Beryl GPBO-40	Weapon	AssaultRifle	109.34	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_GPBO_PCS5M	wz.96C Beryl GPBO-40	Weapon	AssaultRifle	109.34	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_D_GPBO_EOT	wz.96D Beryl GPBO-40	Weapon	AssaultRifle	109.34	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_D_GPBO_PCS5M	wz.96D Beryl GPBO-40	Weapon	AssaultRifle	109.34	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_GPBO_G_EOT	wz.96C Beryl GPBO-40	Weapon	AssaultRifle	109.34	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Beryl04_GPBO_W_EOT	wz.96C Beryl GPBO-40	Weapon	AssaultRifle	109.34	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_BerylMini96_EOT	wz.96B Mini-Beryl	Weapon	AssaultRifle	69.96	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_BerylMini04_EOT	wz.96C Mini-Beryl	Weapon	AssaultRifle	74.8	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_BerylMini04_D_EOT	wz.96D Mini-Beryl	Weapon	AssaultRifle	74.8	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_BerylMini04_G_EOT	wz.96C Mini-Beryl	Weapon	AssaultRifle	74.8	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_BerylMini04_W_EOT	wz.96C Mini-Beryl	Weapon	AssaultRifle	74.8	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Bor_Leu_M3	Bor	Weapon	SniperRifle	134.2	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Bor_Leu_M1	Bor	Weapon	SniperRifle	134.2	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Alex338_Leu_M3	Alex-338	Weapon	SniperRifle	143	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Alex338_Leu_M1	Alex-338	Weapon	SniperRifle	143	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Tor_Leu_M3	Tor	Weapon	SniperRifle	332.2	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Tor_Leu_M1	Tor	Weapon	SniperRifle	332.2	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_UKM_P_EOT	UKM-2000P	Weapon	MachineGun	195.79	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_Grom	PZR Grom	Weapon	Launcher	247.5	-1	-1	@PSZ Polish Armed Forces	psz_weapons_grom
PSZ_RPG7V	RPG-7V	Weapon	Launcher	173.8	-1	-1	@PSZ Polish Armed Forces	psz_weapons_rpg7
PSZ_RPG76	RPG-76 Komar	Weapon	Launcher	46.19	-1	-1	@PSZ Polish Armed Forces	psz_weapons_rpg76
PSZ_Spike_LR	Spike LR	Weapon	MissileLauncher	231	-1	-1	@PSZ Polish Armed Forces	psz_weapons;psz_weapons_spike
PSZ_CarlGustav_M3	Carl Gustaf M3	Weapon	Launcher	145.5	-1	-1	@PSZ Polish Armed Forces	psz_weapons_carlgustav;psz_sounds_weapons_carlgustav
PSZ_RPG7V_PGO7W	RPG-7V	Weapon	Launcher	173.8	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_SmokeLauncher	Smoke Screen	VehicleWeapon	CounterMeasuresLauncher	-1	-1	-1	@PSZ Polish Armed Forces	psz_weapons
PSZ_AccM_QD_Silencer	QD Silencer	Item	AccessoryMuzzle	8	-1	-1	@PSZ Polish Armed Forces	psz_weapons_accessories_silencers
RKSL_optic_EOT552	EOTech 552.A65/1	Item	AccessorySights	4	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_EOT552
RKSL_optic_EOT552_C	EOTech 552.A65/1 (Coyote)	Item	AccessorySights	4	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_EOT552
RKSL_optic_EOT552X	EOTech 552.XR308	Item	AccessorySights	4	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_EOT552
RKSL_optic_EOT552X_C	EOTech 552.XR308 (Coyote)	Item	AccessorySights	4	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_EOT552
RKSL_optic_LDS	LDS	Item	AccessorySights	8	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_LDS
RKSL_optic_LDS_C	LDS (Coyote)	Item	AccessorySights	8	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_LDS
RKSL_optic_PMII_525	S+B 5-25x56 PM II	Item	AccessorySights	19	-1	-1	@4thib	RKSL_PMII_525;ace_compat_rksl_pm_ii;UK3CB_BAF_Weapons_ACE
RKSL_optic_PMII_525_des	S+B 5-25x56 PM II (D)	Item	AccessorySights	19	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_PMII_525
RKSL_optic_PMII_525_wdl	S+B 5-25x56 PM II (W)	Item	AccessorySights	19	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_PMII_525
RKSL_optic_PMII_312	S+B 3-12x50 PM II	Item	AccessorySights	15	-1	-1	@4thib	RKSL_PMII;ace_compat_rksl_pm_ii;UK3CB_BAF_Weapons_ACE
RKSL_optic_PMII_312_sunshade	S+B 3-12x50 PM II (sunshade)	Item	AccessorySights	15	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_PMII
RKSL_optic_PMII_312_wdl	S+B 3-12x50 PM II (W)	Item	AccessorySights	15	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_PMII
RKSL_optic_PMII_312_des	S+B 3-12x50 PM II (D)	Item	AccessorySights	15	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_PMII
RKSL_optic_PMII_312_sunshade_wdl	S+B 3-12x50 PM II (sunshade) (W)	Item	AccessorySights	15	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_PMII
RKSL_optic_PMII_312_sunshade_des	S+B 3-12x50 PM II (sunshade) (D)	Item	AccessorySights	15	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_PMII
RKSL_optic_RMR_MS19	RMR (MS19)	Item	AccessorySights	3	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_RMR
RKSL_optic_RMR_MS19_FDE	RMR (MS19) (FDE)	Item	AccessorySights	3	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_RMR
RKSL_optic_RMR_HG	RMR (Handgun)	Item	AccessorySights	2	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_RMR
RKSL_optic_RMR_HG_FDE	RMR (Handgun) (FDE)	Item	AccessorySights	2	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_RMR
RKSL_optic_RMR_RM33	RMR (RM33)	Item	AccessorySights	3	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_RMR
RKSL_optic_RMR_RM33_FDE	RMR (RM33) (FDE)	Item	AccessorySights	3	-1	-1	@RKSL Studios - Attachments v3.02	RKSL_RMR
tsp_sling	Sling	Item	AccessoryBipod	1	-1	-1	@Animate - Rewrite	tsp_animate
UK3CB_BAF_Javelin_CLU	Javelin CLU	Item	Binocular	44.092	-1	-1	@4thib	UK3CB_BAF_Vehicles_LandRover;UK3CB_BAF_Weapons_Launchers;4ib_weapons
UK3CB_BAF_Javelin_Slung_Tube	Javelin Tube	Weapon	RocketLauncher	330.69	-1	-1	@4thib	UK3CB_BAF_Vehicles_LandRover;UK3CB_BAF_Weapons_Launchers;4ib_weapons
uk3cb_mig21_GSh23L_23mm	Twin GSh23L Cannons (23mm)	VehicleWeapon	MachineGun	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_Mig21
uk3cb_mystere_cannon_30mm	Twin Cannons (30mm)	VehicleWeapon	MachineGun	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_Mystere
UK3CB_9M311_launcher	9M311 Launcher	VehicleWeapon	MissileLauncher	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_2S6M_Tunguska
UK3CB_9M311M1_launcher	9M311-M1 Launcher	VehicleWeapon	MissileLauncher	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_2S6M_Tunguska
UK3CB_30mm_Cannon	2A38 30mm Cannons	VehicleWeapon	MachineGun	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_2S6M_Tunguska
UK3CB_30mm_Cannon_Early	2A38 30mm Cannons	VehicleWeapon	MachineGun	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_2S6M_Tunguska
uk3cb_autocannon_35mm_AA	35mm Cannons	VehicleWeapon	MachineGun	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_ZSU39
UK3CB_Factions_M2_AAV	M2	Weapon	MachineGun	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_AAV
UK3CB_105mm_M68E1a	105mm M68	VehicleWeapon	VehicleWeapon	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_M60
UK3CB_105mm_M68E1	105mm M68	VehicleWeapon	VehicleWeapon	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_M60
UK3CB_PKT	PKT	Weapon	MachineGun	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_Tseries
UK3CB_DT	DT	Weapon	MachineGun	-1	-1	-1	@3CB Factions	UK3CB_Factions_Vehicles_Tseries
